"unique_number","unique_study_number","Species_Author","Author","Year","DOI","Species_accepted_names","Family","Latitude","Longitude","Included_Bennett_et_al_meta_analysis","Level_of_Supplementation","Natural_N_FS","Natural_X_FS","Natural_SD_FS","Sup_N_FS","Sup_X_FS","Sup_SD_FS","Bagout_N_FS","Bagout_X_FS","Bagout_SD_FS","Natural_N_SO","Natural_X_SO","Natural_SD_SO","Sup_N_SO","Sup_X_SO","Sup_SD_SO","Bagout_N_SO","Bagout_X_SO","Bagout_SD_SO","Natural_N_SPFR","Natural_X_SPFR","Natural_SD_SPFR","Sup_N_SPFR","Sup_X_SPFR","Sup_SD_SPFR","Bagout_N_SPFR","Bagout_X_SPFR","Bagout_SD_SPFR","Natural_N_SPFL","Natural_X_SPFL","Natural_SD_SPFL","Sup_N_SPFL","Sup_X_SPFL","Sup_SD_SPFL","Bagout_N_SPFL","Bagout_X_SPFL","Bagout_SD_SPFL","Natural_N_SPP","Natural_X_SPP","Natural_SD_SPP","Sup_N_SPP","Sup_X_SPP","Sup_SD_SPP","Bagout_N_SPP","Bagout_X_SPP","Bagout_SD_SPP","Emasculated_treatment","Additional_Treatment_Information","population","year_of_study","on_phylogeny","PL_Effect_Size","PL_Effect_Size_Type1","PL_Effect_Size_Type2","Constant_added"
"1","1","Dipterocarpus_oblongifolius","Chan","1981",NA,"Dipterocarpus_oblongifolius","Dipterocarpaceae","3.073043","101.525964","yes","flower",80,"0.273","0.0498",NA,NA,NA,"80","0.64","0.0537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"1",NA,"yes","0.851996381168758","FS","Bagout",FALSE
"2","1","Shorea_acuminata","Chan","1981",NA,"Shorea_acuminata","Dipterocarpaceae","2.723939","101.945605","yes","flower",80,"0.019","0.0106",NA,NA,NA,"80","0.351","0.053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"1",NA,"yes","2.91634724429943","FS","Bagout",FALSE
"3","1","Shorea_hemsleyana","Chan","1981",NA,"Shorea_hemsleyana","Dipterocarpaceae","3.073043","101.525964","yes","flower",80,"0.019","0.0106",NA,NA,NA,"80","0.162","0.0401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"1",NA,"yes","2.14315735606594","FS","Bagout",FALSE
"4","1","Shorea_lepidota","Chan","1981",NA,"Shorea_lepidota","Dipterocarpaceae","2.723939","101.945605","yes","flower",80,"0.0123","0.0054",NA,NA,NA,"80","0.244","0.048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"1",NA,"yes","2.98756896291483","FS","Bagout",FALSE
"5","1","Shorea_leprosula","Chan","1981",NA,"Shorea_leprosula","Dipterocarpaceae","2.723939","101.945605","yes","flower",80,"0.0113","0.004",NA,NA,NA,"80","0.17","0.042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"1",NA,"yes","2.71099571133197","FS","Bagout",FALSE
"6","1","Shorea_macroptera","Chan","1981",NA,"Shorea_macroptera","Dipterocarpaceae","2.723939","101.945605","yes","flower",80,"0.017","0.0093",NA,NA,NA,"80","0.209","0.0446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"1",NA,"yes","2.50912090790859","FS","Bagout",FALSE
"7","1","Shorea_ovalis","Chan","1981",NA,"Shorea_ovalis","Dipterocarpaceae","2.723939","101.945605","yes","flower",80,"0.159","0.0409",NA,NA,NA,"80","0.176","0.0426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"1",NA,"yes","0.10157979281792","FS","Bagout",FALSE
"8","1","Shorea_splendida","Chan","1981",NA,"Pentacme_siamensis","Dipterocarpaceae","1.553278","110.359213","yes","flower",80,"0","0",NA,NA,NA,"80","0.375","0.0541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"1",NA,"no","0.559615787935423","FS","Bagout",TRUE
"10","2","Arisaema_triphyllum","Bierzychudek","1982","10.2307/2937350","Arisaema_triphyllum","Araceae","42.453449","-76.473503","yes","whole_plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33","1.424","2.63","33","67.37","75.62",NA,NA,NA,"no",NA,"1","1979","yes","3.85673000198278","SPP","Sup",FALSE
"11","3","Solidago_canadensis","Gross_&_Werner","1983","10.2307/1942589","Solidago_canadensis","Asteraceae","42.405301","-85.400973","yes","inflorescense",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","0.2032","0.156633","15","0.3064","0.235936","15","0.2659","0.356473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","ealy-sp","1","1979","yes","0.41070072216211","SO","Sup",FALSE
